[ 2025-12-21 19:05:40,841 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-12-21 19:05:41,651 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-12-21 19:05:42,480 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-21 19:05:42,496 ] 107 dagshub - INFO - Accessing as HariDarshan0710
[ 2025-12-21 19:05:43,404 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/HariDarshan0710/networksecurity "HTTP/1.1 200 OK"
[ 2025-12-21 19:05:44,241 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-21 19:05:44,266 ] 107 dagshub - INFO - Initialized MLflow to track repo "HariDarshan0710/networksecurity"
[ 2025-12-21 19:05:44,266 ] 107 dagshub - INFO - Repository HariDarshan0710/networksecurity initialized!
[ 2025-12-21 19:05:44,266 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-21 19:05:48,221 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-21 19:05:48,221 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-21 19:05:48,221 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-21 19:05:48,320 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-21 19:05:48,321 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-21 19:05:48,325 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-21 19:05:48,447 ] 32 root - INFO - Required number of columns:2
[ 2025-12-21 19:05:48,447 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-21 19:05:48,447 ] 32 root - INFO - Required number of columns:2
[ 2025-12-21 19:05:48,447 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-21 19:05:48,702 ] 28 root - INFO - data Validation Completed
[ 2025-12-21 19:05:48,703 ] 31 root - INFO - data Transformation started
[ 2025-12-21 19:05:48,703 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-21 19:05:48,703 ] 65 root - INFO - Starting data transformation
[ 2025-12-21 19:05:48,745 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-21 19:05:48,745 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-21 19:05:48,763 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-21 19:05:48,768 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-21 19:05:48,768 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-21 19:05:48,770 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-21 19:05:48,774 ] 35 root - INFO - data Transformation completed
[ 2025-12-21 19:05:48,774 ] 37 root - INFO - Model Training sstared
